caseid,track_name,raw_relative_path,raw_byte_count,raw_sha256,checksum_verified
240,BIS/BIS,cases/240/bis.signal,80690,444e59140da6353a087061fa26048b60a4197885d69dd5faf78f723ebc18fb2e,true
240,BIS/SQI,cases/240/bis_sqi.signal,79584,f58cd7ff1532818ae3295626f92dec5868bbe4fd285c2c2108b4ad357e786d39,true
240,Orchestra/PPF20_RATE,cases/240/ppf20_rate.signal,203652,56041a93d77ebbdb52911214bc8b3a45a908d874340973b0692a9ca884b36e3b,true
240,Orchestra/RFTN20_RATE,cases/240/rftn20_rate.signal,206911,9d533dad459686b2775e19f3263dbc5c866dd2bf5a56383eca988277b830396f,true
245,BIS/BIS,cases/245/bis.signal,74499,59d8279eb849ab3ba5ca8e2ade31d938e45cc2476c9f33e9b9cefc5c76eeb523,true
245,BIS/SQI,cases/245/bis_sqi.signal,73862,d20da902f79e9b77f7d6e2c196713395d18a29860207d234b40c9177ec148e0c,true
245,Orchestra/PPF20_RATE,cases/245/ppf20_rate.signal,298973,46cf5de3f44f9eda2adc55ab3369118ba2ed00d7528e33aefd3fed6e8f5e1615,true
245,Orchestra/RFTN20_RATE,cases/245/rftn20_rate.signal,294204,141901af70a24a558d1002496052c49f2898d33750d112b84e9aec4e339f3de6,true
247,BIS/BIS,cases/247/bis.signal,273121,fceea2021d337ccd1a8d835d0ef6596082f4cf1277ab5fcfcb250d766a8ccb46,true
247,BIS/SQI,cases/247/bis_sqi.signal,271120,817957ad15b49bf5d822ef34350c5bab35eb8eef4badc2a5746d6c469bc27004,true
247,Orchestra/PPF20_RATE,cases/247/ppf20_rate.signal,1044021,d92790208632f505102d5fd7d2bb6d54200ddc4f5aebbdac82955ee38efda3cc,true
247,Orchestra/RFTN20_RATE,cases/247/rftn20_rate.signal,1034850,0b6d5f027ef4922424efb77cc53f3951bd3c3806e5ab47b0d1a36867e319e622,true
248,BIS/BIS,cases/248/bis.signal,74330,d9e130f8ecd122b4b066bf91069c37a28ff15e0ddba21b20595b8998df7e0e24,true
248,BIS/SQI,cases/248/bis_sqi.signal,74328,4f9870ce226efc51d6e370277c46f2fbf60c11b774e0686715a9b20ac7695340,true
248,Orchestra/PPF20_RATE,cases/248/ppf20_rate.signal,188725,622d8f00f227fe7423157d9e7d5d64ec54f63fdd0fbb1c54f5ab0eb7b3efea1a,true
248,Orchestra/RFTN20_RATE,cases/248/rftn20_rate.signal,185424,a2d4cb24f3cc0e021916c0a89c26927d58bac71f18fccbf9dde4d8baa0061343,true
251,BIS/BIS,cases/251/bis.signal,322007,f1faa31d159e8f45e1544344ff0777172e2cb838dbaec8806feb7bc2cbe7f30d,true
251,BIS/SQI,cases/251/bis_sqi.signal,321513,6a012f661e05cc165d0bd19f0b4881dc15f8baad989e656863acf5c1ad9d5624,true
251,Orchestra/PPF20_RATE,cases/251/ppf20_rate.signal,1263426,4b330a2b82bcb8e0595dc1a204b5f3093b88a48817ba66c3792f1503dcfe9988,true
251,Orchestra/RFTN20_RATE,cases/251/rftn20_rate.signal,1252058,dd3aeb4093d059f7792a70660082292484fbbfb54e054753fa0dca7f9df2c357,true
253,BIS/BIS,cases/253/bis.signal,59878,d86a19c25122f85f61f099f6e186ab0caa9025b8cb967ece42243a48acf3f659,true
253,BIS/SQI,cases/253/bis_sqi.signal,59439,5509db053e2327557cafaed99a7d16b3104fa37a727a1af63ede7f9df6f5d75d,true
253,Orchestra/PPF20_RATE,cases/253/ppf20_rate.signal,138100,4faa1a17981f1cb2d272f9094ef162ab7ae5d208f132052b2fc578deeae8ce64,true
253,Orchestra/RFTN20_RATE,cases/253/rftn20_rate.signal,136517,1e72bbf6c9f83936908c2ab3c63a3ef34c2a6d0f451cf6d718309d7c16c31ada,true
257,BIS/BIS,cases/257/bis.signal,195751,3ac1706618f7b4be42fc1dc2ea018d7517543a406d5a4c57ec2db68ca7812eeb,true
257,BIS/SQI,cases/257/bis_sqi.signal,191319,9696b66d0d0f99141a69841d70b26d4e84900d760a5e189f5ae935576a9a6b0c,true
257,Orchestra/PPF20_RATE,cases/257/ppf20_rate.signal,269047,6233928600adbba9125b6026186012cc2e2992963506948df4d6e5306722c638,true
257,Orchestra/RFTN20_RATE,cases/257/rftn20_rate.signal,271765,3b1a83c4177efb810c4a29875e3c6251ea421d7a47adfd8d46c5444ab828a028,true
260,BIS/BIS,cases/260/bis.signal,59429,3db9545ff9cf1cb0fbc525bdc0476462d4999714902b937649324faf1553650c,true
260,BIS/SQI,cases/260/bis_sqi.signal,59041,3dbbadcc2d644aa2d24558e1b672c4ef0b7b0599dd9ca2981c23aadc77be351d,true
260,Orchestra/PPF20_RATE,cases/260/ppf20_rate.signal,154733,8dda611ee5e54e884717ab39a432a378381791f0c0c8999cb9805fcd35b2b13e,true
260,Orchestra/RFTN20_RATE,cases/260/rftn20_rate.signal,152067,c7d49652a1ab5d031e511b1114bb2c348b0cfc9303f6ea3062122797f3a8b128,true
262,BIS/BIS,cases/262/bis.signal,57067,c8815da5b37d1cfb752e0da07bae82ffc0c37eafbd6426da7b05e627f64e8141,true
262,BIS/SQI,cases/262/bis_sqi.signal,56788,af11fc28ecaf7f7173b39bd90ca486b488e93592b36c453927eb766b06595365,true
262,Orchestra/PPF20_RATE,cases/262/ppf20_rate.signal,170112,77fa15de7874581c41b8fe7696949c730156c24eace816c3241de32cb70ba2d2,true
262,Orchestra/RFTN20_RATE,cases/262/rftn20_rate.signal,173356,21ff2dfca8c23cbe0178b04ed0ceaaea2c4dccb05aac4e3324ffa9a8418a47e8,true
263,BIS/BIS,cases/263/bis.signal,117674,daf086e480261ef598a8928d4c7b1c73d7efe467826e0eaf9e9eb0979d4e4033,true
263,BIS/SQI,cases/263/bis_sqi.signal,116567,8af963fe0313ccc89018b75f9a24ca19c166ad4f1971e094a98462fd339a9bf3,true
263,Orchestra/PPF20_RATE,cases/263/ppf20_rate.signal,135268,b70e92b48fc483cb3e5d654fcbfe6cfffd37384c48271e593f6edb9cf2398122,true
